document_id	Title	Authors	Year	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
17	An Electronic Bulletin Board System for the Sales Profession-A Review and Proposal	Clarke L. Caywood and Connie L. Bauer	1986	0.00000000	0.00000000	0.00000000	0.89973134	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.05787308	0.00000000	0.00000000	0.03699307	0.00000000	0.00000000	0.00000000	0.00000000
18	Organizational Commitment In The Sales Force	Lawrence B. Chonko	1986	0.01443808	0.11494079	0.00000000	0.00000000	0.33426106	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.28583178	0.00000000	0.00000000	0.00000000	0.00000000	0.23464540
19	Determining the Value of an Industrial Prospect: A Prospect Preference Index Model	Donald L. Brady	1987	0.29196680	0.00000000	0.00000000	0.03976985	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.48626077	0.00000000	0.00000000	0.00000000	0.18098785	0.00000000	0.00000000	0.00000000
20	he Paris-Peoria Solution: Innovations in Appraising Regional and International SalesPersonnel	"Mark R. Edwards, W. Theodore Cummings and John L. Schlacter"	1984	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.06150614	0.00000000	0.00000000	0.02911263	0.04092305	0.00000000	0.04645126	0.80843067	0.00000000	0.00000000	0.00000000
21	How to Improve Your College Recruiting Program	Jon M. Hawes	1989	0.00000000	0.00000000	0.32244611	0.15937927	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.33740652	0.00000000	0.00000000	0.11487088	0.06506042	0.00000000	0.00000000	0.00000000
22	Maybe It's Time To Take Another Look At Tests As A Sales Selection Tool?	Richard Nelson	1987	0.06982808	0.00000000	0.13702786	0.06041539	0.00000000	0.00000000	0.05906887	0.00000000	0.00000000	0.55046856	0.00000000	0.00000000	0.00000000	0.12237999	0.00000000	0.00000000	0.00000000
23	A Successful Application of the Assessment Center Concept to the Salesperson SelectionProcess	"E. James Randall, Ernest F. Cooke and Lois Smith"	1985	0.00000000	0.00000000	0.04146482	0.00000000	0.05949811	0.00000000	0.12907413	0.00000000	0.00000000	0.70604014	0.00000000	0.00000000	0.00000000	0.06335183	0.00000000	0.00000000	0.00000000
24	Women In Professional Selling: A Human Resource Management Perspective	"Douglas L. Fugate, Philip J. Decker and Joyce J. Brewer"	1988	0.03317782	0.00000000	0.67929482	0.06337543	0.00000000	0.00000000	0.00000000	0.04405951	0.00000000	0.07870033	0.00000000	0.00000000	0.01377279	0.08052333	0.00000000	0.00000000	0.00000000
25	The Manager-Salesperson Relationship: An Exploratory Examination Of The Vertical-Dyadlinkage Model	"Stephen B. Castleberry, John F. Tanner and Jr."	1986	0.09131450	0.03283986	0.00000000	0.02197558	0.07630505	0.00000000	0.00000000	0.06672427	0.00000000	0.10940397	0.23796566	0.01118844	0.00000000	0.33221269	0.00000000	0.00000000	0.01259473
26	Sales Performance: Fact Or Fiction?	Dick Berry	1986	0.43859723	0.00000000	0.00000000	0.21968450	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.06318035	0.27766919	0.00000000	0.00000000	0.00000000
27	Salespeople's Perceptions Of Sex Differences In Sales Managers	Charles M. Futrell	1984	0.00000000	0.00000000	0.72073001	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.04808063	0.00000000	0.00000000	0.00000000	0.13098297	0.00000000	0.00000000	0.09895632
28	Cognitive Selling Scripts and Sales Training	Thomas W. Leigh	1987	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.74395990	0.08572978	0.00000000	0.00000000	0.10616699	0.06357734	0.00000000	0.00000000
29	Conceptualizing Personal Selling for International Business: A Continuum of ExchangePerspective	Alf H. Walle	1986	0.07010082	0.03530744	0.03731259	0.00000000	0.00000000	0.00000000	0.00000000	0.05699692	0.00000000	0.09539632	0.00000000	0.00000000	0.68825459	0.00000000	0.00000000	0.01620258	0.00000000
30	An Evaluation of Sales Training in the U. S. Banking Industry	"Charles M. Futrell, Leonard L. Berry and Michael R. Bowers"	1984	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.08616189	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.03849087	0.87441522	0.00000000	0.00000000	0.00000000
31	Congruence in Sales Force Evaluations: Relation to Sales Force Perceptions of Conflict and Ambiguity	"Lawrence B. Chonko, Roy D. Howell and Danny N. Bellenger"	1986	0.03080440	0.00000000	0.00000000	0.00000000	0.01212393	0.00000000	0.24120259	0.00000000	0.00000000	0.01683405	0.00000000	0.42456740	0.00000000	0.27403140	0.00000000	0.00000000	0.00000000
32	Strategy For Systems Sellers: A Grid Approach	"Dan T. Dunn, Jr. and Claude A. Thomas"	1986	0.00000000	0.13875456	0.00000000	0.84204328	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01530395	0.00000000	0.00000000	0.00000000
33	Sales Force Automation-Here And Now	Al Wedell and Dale Hempeck	1987	0.00000000	0.00000000	0.00000000	0.99875116	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
34	The Fortune 500 Companies' Selection Criteria For Promotion To First Level Salesmanagement: An Empirical Study	Donald B. Guest and Havva J. Meric	1989	0.00000000	0.00000000	0.11746595	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.57603973	0.02037854	0.00000000	0.02716533	0.25159103	0.00000000	0.00000000	0.00000000
35	Implementing New Business-to-Business Selling Methods	"Richard N. Cardozo, Shannon H. Shipp and Kenneth J. Roering"	1987	0.00000000	0.00000000	0.00000000	0.92458463	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.07484578	0.00000000	0.00000000	0.00000000
36	"Effects Of Effort, Territory Situation, And Rater On Salesperson Evaluation"	"John C. Mowen, Keith J. Fabes and Raymond W. LaForge"	1986	0.06518220	0.00000000	0.02502116	0.00000000	0.00000000	0.00000000	0.04755681	0.00000000	0.00000000	0.03233880	0.00000000	0.00000000	0.00000000	0.82900256	0.00000000	0.00000000	0.00000000
37	"Sex Roles And The Desirability Of Job Rewards, Expectations And Aspirations Of Maleversus Female Salespeople"	C. Kendrick Gibson and John E. Swan	1981	0.00000000	0.00000000	0.74990237	0.00000000	0.24897897	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
38	Rapport Building For Salespeople: A Neuro-Linguistic Approach	"William G. Nickels, Robert F. Everett and Ronald Klein"	1983	0.00000000	0.05375168	0.00000000	0.04180799	0.00000000	0.00000000	0.00000000	0.07037079	0.00000000	0.81567729	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
39	"Omment On ""Antecedents Of Performance And Satisfaction In A Service Sales Force Ascompared To An Industrial Sales Force"""	Richard P. Bagozzi	1986	0.00000000	0.00000000	0.04044693	0.00000000	0.00000000	0.01675467	0.62864608	0.00000000	0.00000000	0.00000000	0.00000000	0.17474000	0.00000000	0.12923615	0.00000000	0.00000000	0.00000000
40	Sales Training And Impression Management	Ronald H. King and Martha B. Booze	1986	0.00000000	0.00000000	0.00000000	0.03886141	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.92002434	0.00000000	0.00000000	0.00000000	0.04033770	0.00000000	0.00000000	0.00000000
41	An Examination of Reward Preferences for Sales Managers	"Danny N. Bellenger, James B. Wilcox and Thomas N. Ingram"	1984	0.00000000	0.00000000	0.03625226	0.00000000	0.79745406	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01195385	0.15326072	0.00000000	0.00000000	0.00000000
42	Monte Carlo Simulation Approach To Product Profile Analysis: A Consultative Selling Tool	Kenneth N. Thompson	1989	0.16021925	0.09268128	0.00000000	0.37021369	0.00000000	0.00000000	0.00000000	0.00000000	0.03150887	0.00000000	0.00000000	0.00000000	0.03520357	0.30173296	0.00000000	0.00000000	0.00000000
43	Insider/Outsider Sales Management Succession	Anthony Pecotich and J. F. Crockett	1987	0.06632867	0.00000000	0.14860733	0.01696937	0.02738951	0.19897376	0.06313738	0.00000000	0.00000000	0.04637285	0.00000000	0.05890289	0.04117344	0.33162251	0.00000000	0.00000000	0.00000000
44	Disconfirmation of Expectations: A Method for Enhancing the Effectiveness of CustomerCommunications	Michael F. Smith and James M. Hunt	1987	0.00000000	0.03068473	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.96882409	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
45	Work Motivation Through The Design Of Salesperson Jobs	Pradeep K. Tyagi	1985	0.00000000	0.00000000	0.00000000	0.00000000	0.15264595	0.00000000	0.26168659	0.00000000	0.00000000	0.00000000	0.07033308	0.33797416	0.00000000	0.16885211	0.00000000	0.00000000	0.00000000
46	Testing For Deterministic Salesperson Attributes In Mature Markets	David T. Wilson and J. David Lichtenthal	1985	0.00000000	0.00000000	0.00000000	0.35814300	0.00000000	0.00000000	0.00000000	0.01661443	0.00000000	0.13521032	0.00000000	0.00000000	0.00000000	0.48914036	0.00000000	0.00000000	0.00000000
47	A Practical Theory of Persuasion Based on Behavioral Science Approaches	G. Ray Funkhouser	1984	0.14198494	0.00000000	0.08494338	0.10981960	0.02909082	0.00000000	0.00000000	0.00000000	0.00000000	0.57957149	0.00000000	0.00000000	0.05395366	0.00000000	0.00000000	0.00000000	0.00000000
48	The Selling Situation As A Moderator Of The Personality-Sales Performance Relationship: Anempirical Investigation	Ramon A. Avila and Edward F. Fern	1986	0.09613488	0.00000000	0.00000000	0.07713318	0.00000000	0.00000000	0.67825717	0.00000000	0.00000000	0.02502814	0.00000000	0.02325581	0.00000000	0.05085531	0.04884382	0.00000000	0.00000000
49	"An Empirical Assessment of Salesperson Motivation, Commitment, and Job Outcomes"	"Thomas N. Ingram, Keun S. Lee and Steven J. Skinner"	1989	0.00000000	0.00000000	0.00000000	0.00000000	0.35425979	0.00000000	0.11009470	0.00000000	0.00000000	0.00000000	0.00000000	0.49629191	0.01876164	0.01979296	0.00000000	0.00000000	0.00000000
50	Sales Training: A Microcomputer-Based Approach	Robert H. Collins	1986	0.00000000	0.00000000	0.00000000	0.55794585	0.00000000	0.00000000	0.01130576	0.00000000	0.00000000	0.27980497	0.00000000	0.00000000	0.00000000	0.14980815	0.00000000	0.00000000	0.00000000
51	Using The Journal Of Personal Selling & Sales Management As A Teaching Aid	Kenneth Traynor	1986	0.00000000	0.00000000	0.32360074	0.02527315	0.00000000	0.00000000	0.00000000	0.02229073	0.08962889	0.23273256	0.00000000	0.00000000	0.00000000	0.30340537	0.00000000	0.00000000	0.00000000
52	Organization And Effectiveness Of The Multiple-Product Salesforce	Ram C. Rao and Ronald E. Turner	1984	0.14163662	0.00000000	0.00000000	0.51133645	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.06721324	0.00000000	0.02264462	0.00000000	0.25626808	0.00000000	0.00000000	0.00000000
53	"Ethics And Personal Selling: ""Death Of A Salesman"" As An Ethical Primer"	Clarke L. Caywood and Gene R. Laczniak	1986	0.00000000	0.00000000	0.48489636	0.18513000	0.01474133	0.00000000	0.00000000	0.10651029	0.00000000	0.05332873	0.00000000	0.00000000	0.12152643	0.02825217	0.00000000	0.00000000	0.00000000
54	A Multidimensional Analysis of Preferences for Sales Positions	Alan J. Dubinsky and P. J. O'Connor	1983	0.00000000	0.00000000	0.49694315	0.14584544	0.00000000	0.00000000	0.20264180	0.00000000	0.00000000	0.07235239	0.00000000	0.00000000	0.00000000	0.08137031	0.00000000	0.00000000	0.00000000
55	Can Assessment Centers Be Used to Improve the Salesperson Selection Process?	"E. James Randall, Ernest F. Cooke and Richard J. Jefferies"	1981	0.09594248	0.00000000	0.02312948	0.04046293	0.00000000	0.00000000	0.01406876	0.00000000	0.00000000	0.63186854	0.00000000	0.00000000	0.02068280	0.17299697	0.00000000	0.00000000	0.00000000
56	A Comparison of the Impact of Organizational Climate on the Job Satisfaction ofManufacturers' Agents and Company Salespeople: An Exploratory Study	"Jayashree Mahajan, Gilbert A. Churchill, Jr., Neil M. Ford, Orville C. Walkerand Jr."	1984	0.00000000	0.00000000	0.00000000	0.00000000	0.05222569	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.75009054	0.00000000	0.16166566	0.00000000	0.00000000	0.03533927
57	Alcohol Abuse in the Sales Force	"W. E. Patton, III and Michael Questell"	1986	0.01335180	0.00000000	0.49917972	0.00000000	0.00000000	0.00000000	0.02395516	0.00000000	0.02949105	0.00000000	0.00000000	0.01200779	0.00000000	0.42135382	0.00000000	0.00000000	0.00000000
